season,episode,img_src,painting_title,hex_codes
19,4,https://www.twoinchbrush.com/images/painting47.png,Snowy Morn,#948877
19,5,https://www.twoinchbrush.com/images/painting48.png,Camper's Haven,#978CA5
19,6,https://www.twoinchbrush.com/images/painting49.png,Waterfall in the Woods,#878373
19,7,https://www.twoinchbrush.com/images/painting50.png,Covered Bridge Oval,#9F8A98
19,8,https://www.twoinchbrush.com/images/painting51.png,Scenic Seclusion,#9A8D5F
19,9,https://www.twoinchbrush.com/images/painting52.png,Ebb Tide,#B6855A
19,10,https://www.twoinchbrush.com/images/painting53.png,After the Rain,#6A837C
19,11,https://www.twoinchbrush.com/images/painting54.png,Winter Elegance,#A68E8A
19,12,https://www.twoinchbrush.com/images/painting56.png,Evening's Peace,#798DD4
19,13,https://www.twoinchbrush.com/images/painting57.png,Valley of Tranquility,#8D8E90
20,1,https://www.twoinchbrush.com/images/painting31.png,Mystic Mountain,#68A3BC
20,2,https://www.twoinchbrush.com/images/painting32.png,New Day's Dawn,#AB8A56
20,3,https://www.twoinchbrush.com/images/painting33.png,Winter in Pastel,#AB8B80
20,4,https://www.twoinchbrush.com/images/painting34.png,Hazy Day,#A0908B
20,5,https://www.twoinchbrush.com/images/painting35.png,Divine Elegance,#7995CF
20,6,https://www.twoinchbrush.com/images/painting36.png,Cliffside,#B38281
20,7,https://www.twoinchbrush.com/images/painting37.png,Autumn Fantasy,#B08A7A
20,8,https://www.twoinchbrush.com/images/painting38.png,The Old Oak Tree,#5D7299
20,9,https://www.twoinchbrush.com/images/painting39.png,Winter Paradise,#968DB7
20,10,https://www.twoinchbrush.com/images/painting40.png,Days Gone By,#788EAE
20,11,https://www.twoinchbrush.com/images/painting41.png,Change of Seasons,#A8886A
20,12,https://www.twoinchbrush.com/images/painting42.png,Hidden Delight,#A38B5D
20,13,https://www.twoinchbrush.com/images/painting43.png,Double Take,#638097
21,1,https://www.twoinchbrush.com/images/painting17.png,Valley View,#869571
21,2,https://www.twoinchbrush.com/images/painting18.png,Tranquil Dawn,#AE9976
21,3,https://www.twoinchbrush.com/images/painting19.png,Royal Majesty,#8B8A9C
21,4,https://www.twoinchbrush.com/images/painting20.png,Serenity,#A38D8F
21,5,https://www.twoinchbrush.com/images/painting21.png,Cabin at Trails End,#B1A598
21,6,https://www.twoinchbrush.com/images/painting22.png,Mountain Rhapsody,#B98B82
21,7,https://www.twoinchbrush.com/images/painting23.png,Wilderness Cabin,#95988A
21,8,https://www.twoinchbrush.com/images/painting24.png,By the Sea,#827D88
21,9,https://www.twoinchbrush.com/images/painting25.png,Indian Summer,#978565
21,10,https://www.twoinchbrush.com/images/painting27.png,Blue Winter,#7A98BA
21,11,https://www.twoinchbrush.com/images/painting28.png,Desert Glow,#C6967F
21,12,https://www.twoinchbrush.com/images/painting29.png,Lone Mountain,#778B84
21,13,https://www.twoinchbrush.com/images/painting30.png,Florida's Glory,#6197CD
22,1,https://www.twoinchbrush.com/images/painting14.png,Autumn Images,#92939B
22,2,https://www.twoinchbrush.com/images/painting15.png,Hint of Springtime,#8E90A4
22,3,https://www.twoinchbrush.com/images/painting16.png,Around the Bend,#768F6D
22,4,https://www.twoinchbrush.com/images/painting4.png,Countryside Oval,#8A939B
22,5,https://www.twoinchbrush.com/images/painting5.png,Russet Winter,#BD8C6E
22,6,https://www.twoinchbrush.com/images/painting6.png,Purple Haze,#9E8E9D
22,7,https://www.twoinchbrush.com/images/painting7.png,Dimensions,#949797
22,8,https://www.twoinchbrush.com/images/painting8.png,Deep Wilderness Home,#8D9359
22,9,https://www.twoinchbrush.com/images/painting9.png,Haven in the Valley,#919591
22,10,https://www.twoinchbrush.com/images/painting10.png,Wintertime Blues,#7398BA
22,11,https://www.twoinchbrush.com/images/painting11.png,Pastel Seascape,#BC8A7E
22,12,https://www.twoinchbrush.com/images/painting12.png,Country Creek,#969570
22,13,https://www.twoinchbrush.com/images/painting13.png,Silent Forest,#7A9C87
23,1,https://www.twoinchbrush.com/images/painting295.png,Frosty Winter Morn,#709ACE
23,2,https://www.twoinchbrush.com/images/painting296.png,Forest Edge,#84963E
23,3,https://www.twoinchbrush.com/images/painting297.png,Mountain Ridge Lake,#7898A1
23,4,https://www.twoinchbrush.com/images/painting298.png,Reflections of Gold,#AE9175
23,5,https://www.twoinchbrush.com/images/painting299.png,Quiet Cove,#9A9956
23,6,https://www.twoinchbrush.com/images/painting300.png,Rivers Peace,#8C877D
23,7,https://www.twoinchbrush.com/images/painting301.png,At Dawn's Light,#AF8693
23,8,https://www.twoinchbrush.com/images/painting302.png,Valley Waterfall,#69A096
23,9,https://www.twoinchbrush.com/images/painting303.png,Toward Days End,#889790
23,10,https://www.twoinchbrush.com/images/painting304.png,Falls in the Glen,#8B8EA4
23,11,https://www.twoinchbrush.com/images/painting305.png,Frozen Beauty in Vignette,#6199E4
23,12,https://www.twoinchbrush.com/images/painting306.png,Crimson Tide,#A07B9B
23,13,https://www.twoinchbrush.com/images/painting307.png,Winter Bliss,#918BA4
24,1,https://www.twoinchbrush.com/images/painting308.png,Gray Mountain,#9C8B74
24,2,https://www.twoinchbrush.com/images/painting309.png,Wayside Pond,#8B9396
24,3,https://www.twoinchbrush.com/images/painting310.png,Teton Winter,#6E98C2
24,4,https://www.twoinchbrush.com/images/painting311.png,Little Home in the Meadow,#88959B
24,5,https://www.twoinchbrush.com/images/painting312.png,A Pretty Autumn Day,#938D7D
24,6,https://www.twoinchbrush.com/images/painting313.png,Mirrored Images,#7399B3
24,7,https://www.twoinchbrush.com/images/painting314.png,Back-Country Path,#95927F
24,8,https://www.twoinchbrush.com/images/painting315.png,Graceful Waterfall,#859177
24,9,https://www.twoinchbrush.com/images/painting316.png,Icy Lake,#99909F
24,10,https://www.twoinchbrush.com/images/painting317.png,Rowboat on the Beach,#829C9E
24,11,https://www.twoinchbrush.com/images/painting318.png,Portrait of Winter,#6F99B9
24,12,https://www.twoinchbrush.com/images/painting319.png,The Footbridge,#909280
24,13,https://www.twoinchbrush.com/images/painting320.png,Snowbound Cabin,#728595
25,1,https://www.twoinchbrush.com/images/painting321.png,Hide A Way Cove,#8F968D
25,2,https://www.twoinchbrush.com/images/painting322.png,Enchanted Falls Oval,#A99063
25,3,https://www.twoinchbrush.com/images/painting323.png,Not Quite Spring,#8F9499
25,4,https://www.twoinchbrush.com/images/painting324.png,Splashes of Autumn,#929861
25,5,https://www.twoinchbrush.com/images/painting325.png,Summer in the Mountain,#809A9E
25,6,https://www.twoinchbrush.com/images/painting326.png,Oriental Falls,#929584
25,7,https://www.twoinchbrush.com/images/painting327.png,Autumn Palette,#949763
25,8,https://www.twoinchbrush.com/images/painting328.png,Cypress Swamp,#949294
25,9,https://www.twoinchbrush.com/images/painting329.png,Downstream View,#83979E
25,10,https://www.twoinchbrush.com/images/painting330.png,Just Before the Storm,#8898A5
25,11,https://www.twoinchbrush.com/images/painting331.png,Fisherman's Paradise,#B7986A
25,12,https://www.twoinchbrush.com/images/painting332.png,Desert Hues,#9B9E9A
25,13,https://www.twoinchbrush.com/images/painting333.png,The Property Line,#92948A
26,1,https://www.twoinchbrush.com/images/painting334.png,In the Stillness of Morning,#8096A2
26,2,https://www.twoinchbrush.com/images/painting335.png,Delightful Meadow Home,#A89654
26,3,https://www.twoinchbrush.com/images/painting336.png,First Snow,#9191AF
26,4,https://www.twoinchbrush.com/images/painting337.png,Lake in the Valley,#909582
26,5,https://www.twoinchbrush.com/images/painting338.png,A Trace of Spring,#8D9B96
26,6,https://www.twoinchbrush.com/images/painting339.png,An Arctic Winter Day,#7F97B3
26,7,https://www.twoinchbrush.com/images/painting340.png,Snow Birch,#738579
26,8,https://www.twoinchbrush.com/images/painting341.png,Early Autumn,#92959A
26,9,https://www.twoinchbrush.com/images/painting342.png,Tranquil Wooded Stream,#959658
26,10,https://www.twoinchbrush.com/images/painting343.png,Purple Mountain Range,#8798A5
26,11,https://www.twoinchbrush.com/images/painting344.png,Storm's A Comin,#7D96AF
26,12,https://www.twoinchbrush.com/images/painting345.png,Sunset Aglow,#BB8C96
26,13,https://www.twoinchbrush.com/images/painting346.png,Evening at the Falls,#8990AD
27,1,https://www.twoinchbrush.com/images/painting347.png,Twilight Beauty,#9D8EA8
27,2,https://www.twoinchbrush.com/images/painting348.png,Angler's Haven,#859986
27,3,https://www.twoinchbrush.com/images/painting349.png,Rustic Winter Woods,#B6916B
27,4,https://www.twoinchbrush.com/images/painting350.png,Wilderness Falls,#77A9A7
